,std,mean,q_50,q_90,q_99,q_999,q_9999
all_delay,286.5,102.8,8.0,426.0,1684.0,2188.0,2600.0
XIAO_DU,551.6,874.8,571.0,1669.0,2149.0,2588.0,3067.0
sub_du,27.8,18.7,8.0,70.0,107.0,173.0,290.0
ALARM,5.5,15.1,14.0,22.0,32.0,52.0,77.0
APP_MANAGEMENT,5.4,14.0,13.0,21.0,31.0,45.0,60.0
GREETING,5.8,14.4,14.0,21.0,31.0,50.0,92.0
PHONE,5.4,14.3,13.0,21.0,32.0,51.0,65.0
ROBOROCK_CLEAN_FUNCTION,4.9,14.0,12.0,21.0,31.0,45.0,51.0
ROBOROCK_CLEAN_FUNCTION_MULTI,6.3,22.6,21.0,30.0,44.0,65.0,93.0
ROBOROCK_OTHER_FUNCTION,4.9,14.1,12.0,21.0,30.0,41.0,52.0
ROBOROCK_PARAMETER_CONTROL,4.7,13.0,11.0,20.0,29.0,40.0,51.0
ROBOROCK_SCHEDULE_MANAGEMENT,5.0,16.1,14.0,23.0,34.0,49.0,60.0
SPACE,5.3,14.0,12.0,21.0,32.0,50.0,65.0
SYS_COMMAND,5.2,13.9,13.0,20.0,30.0,47.0,70.0
SYS_PARAMETER,5.5,14.8,14.0,22.0,32.0,49.0,77.0
SYS_PERIPHERALS,5.3,13.9,13.0,21.0,31.0,46.0,65.0
SYS_PROFILE,5.7,14.4,13.0,21.0,31.0,55.0,80.0
TIME,5.2,13.4,11.0,20.0,31.0,50.0,62.0
Unit,27.2,91.9,91.0,124.0,169.0,286.0,418.0
