intent	count
start_clean	38190
start_sweep	12804
start_mop	9851
start_sweep_and_mop	4664
come_here	3939
come_here_clean	3579
continue_clean	2954
set_schedule	2836
stop_clean	2674
come_here_sweep	1972
ban_clean	1540
start_back_station	1512
go_away	1456
info_location_status	1455
view_schedule	1211
come_here_mop	1076
start_generate_map	1048
set_air_suction	848
stop_sweep	841
info_consumable	797
start_drying	743
delete_schedule	625
move	616
info_elec_status	519
stop_mop	502
continue_sweep	480
ban_clean_here	441
info_action_status	371
start_exit_duck	351
follow_me	346
pause_clean	335
continue_mop	331
ban_sweep_here	301
set_water_volume	298
come_here_sweep_and_mop	207
up_suction	199
start_collect_dust	194
stop_drying	193
info_clean_progress	189
info_error_status	186
continue_sweep_and_mop	159
pause_sweep	138
stop_back_station	137
info_todo_time	121
up_water_volume	119
stop_sweep_and_mop	98
info_suction	98
down_suction	96
info_clean_completed_space	96
ban_mop_here	79
continue_generate_map	77
ban_clean_there	71
down_water_volume	69
ban_sweep_there	61
pause_mop	61
continue_drying	53
stop_generate_map	41
info_mop_water_volume	33
ban_mop_there	30
info_complete_time	29
pause_drying	29
info_clean_unfinished_space	27
continue_back_station	22
pause_sweep_and_mop	22
info_clean_next_space	19
info_clean_space	18
pause_back_station	17
pause_generate_map	16
ban_sweep_and_mop_here	14
stop_exit_duck	8
stop_collect_dust	8
continue_exit_duck	7
ban_sweep_and_mop_there	6
open_carpet_pressurization	6
continue_collect_dust	4
close_carpet_pressurization	3
pause_exit_duck	2
turn	0
continue_clean_roller	0
gesture_name	0
pause_key_clean	0
delete_dnd_mode	0
close_station_light	0
start_key_clean	0
close_voice_assistant	0
follow_me_sweep_and_mop	0
close_laser_assistant	0
close_dnd_mode	0
stop_key_clean	0
close_childlock	0
move_location	0
follow_me_clean	0
follow_me_sweep	0
open_station_light	0
stop_clean_roller	0
start_clean_roller	0
set_dnd_mode	0
pause_collect_dust	0
come_here_key_clean	0
pause_clean_roller	0
open_laser_assistant	0
follow_me_mop	0
open_dnd_mode	0
continue_key_clean	0
open_childlock	0
open_carpet_avoidance	0
open_ai_recognition	0
close_carpet_avoidance	0
close_ai_recognition	0
